uniq_id,brand_name,category,product_title,mrp,price,rating,rating_count,source_snapshot,,,,
2659739,Herbal Essences,Herbal Essences,Herbal Essences Argan Oil Of Moroccan Shampoo & Conditioner With Free Neem Comb,1250,750,4.4,1008,2022_popular_brands,,,,
1290145,Herbal Essences,Herbal Essences,"Herbal Essences Aloe & Bamboo Shampoo + Conditioner For Soft Smooth Hair, No Sulphates & Paraben",1575,1181,4.4,1034,2022_popular_brands,,,,
456559,Herbal Essences,Herbal Essences,"Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants",1250,688,4.3,10879,2022_popular_brands,,,,
3753166,Herbal Essences,Herbal Essences,"Herbal Essences Aloe & Bamboo Shampoo + Conditioner Kit For Soft Hair, Sulphate & Paraben Free",1575,945,4.3,65,2022_popular_brands,,,,
5360837,Herbal Essences,Herbal Essences,Herbal Essences Argan Oil Of Morocco Shampoo - For Frizz Free Hair - Paraben Free,600,390,4.3,8769,2022_popular_brands,,,,
4719645,Herbal Essences,Herbal Essences,"Herbal Essences Strawberry Shampoo & Conditioner For Voluminous Hair - No Parabens, No Colourants",730,533,4.7,304,2022_popular_brands,,,,
4719644,Herbal Essences,Herbal Essences,"Herbal Essences Argan Oil Shampoo & Conditioner For Frizz - No Parabens, No Colourants",730,533,4.7,305,2022_popular_brands,,,,
1044492,Herbal Essences,Herbal Essences,"Herbal Essences Aloe & Bamboo Shampoo For Soft Smooth Hair, No-Sulphates, Paraben and Silicones",750,525,4.3,503,2022_popular_brands,,,,
5360839,Herbal Essences,Herbal Essences,Herbal Essences Argan Oil Of Morocco Conditioner - For Frizz Free Hair - Paraben Free,650,390,4.4,5130,2022_popular_brands,,,,
1044490,Herbal Essences,Herbal Essences,"Herbal Essences Aloe & Eucalyptus Shampoo For Soft Smooth Hair, No- Sulphates, Paraben and Silicones",750,525,4.3,512,2022_popular_brands,,,,
5360838,Herbal Essences,Herbal Essences,Herbal Essences Strawberry & Mint Shampoo - For Cleansing & Volume - Paraben Free,600,390,4.1,2502,2022_popular_brands,,,,
452442,Herbal Essences,Herbal Essences,Herbal Essences Coconut Milk Shampoo For Hydration & Softness - No Parabens- No Colourants,600,390,4.2,2077,2022_popular_brands,,,,
452443,Herbal Essences,Herbal Essences,"Herbal Essences Cocoa Butter Shampoo For Hair Strengthening - No Parabens, No Colourants",600,390,4.3,1206,2022_popular_brands,,,,
5360840,Herbal Essences,Herbal Essences,Herbal Essences Strawberry & Mint Conditioner - For Cleansing & Volume - Paraben Free,380,277,4.3,1093,2022_popular_brands,,,,
456560,Herbal Essences,Herbal Essences,"Herbal Essences Coconut Milk Shampoo & Conditioner For Hydration & Softness - No Parabens, No Colourants",1250,875,4.3,3665,2022_popular_brands,,,,
452448,Herbal Essences,Herbal Essences,Herbal Essences Bio:Renew Hydrate Coconut Milk Conditioner,650,423,4.4,1117,2022_popular_brands,,,,
1044491,Herbal Essences,Herbal Essences,Herbal Essences Aloe & Bamboo Conditioner Soft Smooth Hair- No- Sulphates and Paraben(400gm),825,578,4.4,467,2022_popular_brands,,,,
452449,Herbal Essences,Herbal Essences,Herbal Essences Bio:Renew Strength Whipped Cocoa Butter Conditioner,650,423,4.4,711,2022_popular_brands,,,,
456562,Herbal Essences,Herbal Essences,"Herbal Essences Cocoa Butter Shampoo & Conditioner For Hair Strengthening - No Parabens, No Colourants",1250,875,4.3,2165,2022_popular_brands,,,,
1290147,Herbal Essences,Herbal Essences,"Herbal Essences Aloe & Eucalyptus Shampoo + Aloe & Bamboo Conditioner, No- Sulphates & Paraben",1575,1103,4.4,1036,2022_popular_brands,,,,
6604347,Herbal Essences,Herbal Essences,Herbal Essences Strawberry Shampoo + Strawberry Conditioner,980,667,4.1,1985,2022_popular_brands,,,,
1135934,Herbal Essences,Herbal Essences,Herbal Essences Argan 2 Shampoo + Conditioner,1850,1295,4.3,9506,2022_popular_brands,,,,
6604346,Herbal Essences,Herbal Essences,Herbal Essences Argan Shampoo + Argan Conditioner,980,667,4.2,6170,2022_popular_brands,,,,
1135937,Herbal Essences,Herbal Essences,Herbal Essences Cocoa Butter 2 Shampoo + Conditioner,1850,1295,4.4,1933,2022_popular_brands,,,,
1135936,Herbal Essences,Herbal Essences,Herbal Essences Coconut 2 Shampoo + Conditioner,1850,1295,4.3,3213,2022_popular_brands,,,,
456563,Herbal Essences,Herbal Essences,"Herbal Essences Strawberry Shampoo & Conditioner For Volume - No Parabens, No Colourants",1250,875,4.1,3009,2022_popular_brands,,,,
1135935,Herbal Essences,Herbal Essences,Herbal Essences Strawberry 2 Shampoo + Conditioner,1850,1295,4.1,2669,2022_popular_brands,,,,
594425,Herbal Essences,Herbal Essences,Herbal Essences Argan Oil Of Moroccan Shampoo & Conditioner With Free Neem Comb,1250,750,4.3,11761,2022_popular_brands,,,,
1229442,Kay Beauty,Kay Beauty Products Online,Kay Beauty Hydrating Foundation,1200,900,4.4,4577,2022_popular_brands,,,,
4518371,Kay Beauty,Kay Beauty Products Online,Kay Beauty Hd Liquid Concealer,799,679,4.4,1237,2022_popular_brands,,,,
1129386,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte Compact,799,639,4.4,2857,2022_popular_brands,,,,
5093150,Kay Beauty,Kay Beauty Products Online,Kay Beauty Creme Blush,799,799,4.5,2010,2022_popular_brands,,,,
1010793,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte Drama Long Stay Lipstick,999,749,4.4,3696,2022_popular_brands,,,,
1324436,Kay Beauty,Kay Beauty Products Online,Kay Beauty Eyeshadow Palette,1199,959,4.6,2181,2022_popular_brands,,,,
2662674,Kay Beauty,Kay Beauty Products Online,Kay Beauty Colour Correcting Primer,799,599,4,952,2022_popular_brands,,,,
573594,Kay Beauty,Kay Beauty Products Online,Kay Beauty Waterproof 24 Hour Kajal - Spade - Black,249,249,4.5,14815,2022_popular_brands,,,,
573181,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matteinee Matte Lip Crayon Lipstick,799,639,4.3,15040,2022_popular_brands,,,,
1080669,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte Blush,799,639,4.5,4619,2022_popular_brands,,,,
692818,Kay Beauty,Kay Beauty Products Online,Kay Beauty Ultra Black Volume & Length Mascara - Midnight,799,679,4.5,1760,2022_popular_brands,,,,
4970783,Kay Beauty,Kay Beauty Products Online,Kay Beauty Lip & Cheek Combo,1598,1358,4.8,6,2022_popular_brands,,,,
626907,Kay Beauty,Kay Beauty Products Online,Kay Beauty Nail Nourish Nail Enamel Polish,225,169,4.3,22495,2022_popular_brands,,,,
692836,Kay Beauty,Kay Beauty Products Online,Kay Beauty Quick Dry Liquid Eyeliner,499,399,4.4,9552,2022_popular_brands,,,,
4970778,Kay Beauty,Kay Beauty Products Online,Kay Beauty Glittery Glam Nails Look With Kay Beauty Nail Enamel Nail Polish,474,356,4.7,9,2022_popular_brands,,,,
6583638,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil,599,599,4.4,606,2022_popular_brands,,,,
766520,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte HD Setting Loose Powder,799,599,4.5,4997,2022_popular_brands,,,,
573572,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte Action Lip Liner,550,413,4.5,5372,2022_popular_brands,,,,
654428,Kay Beauty,Kay Beauty Products Online,Kay Beauty Contour Stick,599,509,4.3,5927,2022_popular_brands,,,,
5722072,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Liquid Colour Corrector,799,679,4.4,565,2022_popular_brands,,,,
598027,Kay Beauty,Kay Beauty Products Online,Kay Beauty Metallic Eyeshadow Stick Pencil,599,449,4.5,7879,2022_popular_brands,,,,
766529,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Translucent Loose Powder - White,799,719,4.5,1497,2022_popular_brands,,,,
834303,Kay Beauty,Kay Beauty Products Online,Kay Beauty Illuminating Highlighter,799,639,4.1,3242,2022_popular_brands,,,,
573592,Kay Beauty,Kay Beauty Products Online,Kay Beauty Smudgeproof Jet Black Gel Kajal - Onyx,450,405,4.3,2926,2022_popular_brands,,,,
1503306,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Liquid Colour Corrector - Orange,799,799,4.4,566,2022_popular_brands,,,,
1375804,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Blue,599,599,4.4,606,2022_popular_brands,,,,
772963,Kay Beauty,Kay Beauty Products Online,Kay Beauty Contour & Highlight Pro Palette - Contour Genius,1099,989,4.2,551,2022_popular_brands,,,,
595538,Kay Beauty,Kay Beauty Products Online,Kay Beauty Matte Eyeshadow Stick Pencil,599,479,4.4,2499,2022_popular_brands,,,,
1503307,Kay Beauty,Kay Beauty Products Online,Kay Beauty HD Liquid Colour Corrector - Peach,799,799,4.4,566,2022_popular_brands,,,,
1375805,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Bronze,599,599,4.4,606,2022_popular_brands,,,,
1375803,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Olive,599,599,4.4,606,2022_popular_brands,,,,
573596,Kay Beauty,Kay Beauty Products Online,Kay Beauty Waterproof Smokey Kajal with Smudger - Raven Hue,599,539,4.4,1859,2022_popular_brands,,,,
654419,Kay Beauty,Kay Beauty Products Online,Kay Beauty Colour Corrector Stick,599,449,3.9,2608,2022_popular_brands,,,,
1375807,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Green,599,599,4.4,606,2022_popular_brands,,,,
832701,Kay Beauty,Kay Beauty Products Online,Kay Beauty Kajal Combo (Pack of 2),498,498,4.5,14948,2022_popular_brands,,,,
1504842,Kay Beauty,Kay Beauty Products Online,Kay Beauty Nail Nourish Glitter Pastel Nail Enamel Polish,249,199,4.5,915,2022_popular_brands,,,,
1375808,Kay Beauty,Kay Beauty Products Online,Kay Beauty Gel Eye Pencil - Rose Gold,599,599,4.4,606,2022_popular_brands,,,,
